茨城中学校,茨城県水戸市八幡町１６−１,私立
水戸英宏中学校,茨城県水戸市見川町字手負山２５８２−１５,私立
茨城キリスト教学園中学校,茨城県日立市大みか町６—１１−１,私立
常総学院中学校,茨城県土浦市中村西根１０１０,私立
青丘学院つくば中学校,茨城県石岡市柿岡字寺田１６０４−１,私立
聖徳大学附属取手聖徳女子中学校,茨城県取手市山王１０００,私立
江戸川学園取手中学校,茨城県取手市西１−３７−１,私立
東洋大学附属牛久中学校,茨城県牛久市柏田町１３６０−２,私立
学校法人茗溪学園茗溪学園中学校,茨城県つくば市稲荷前１−１,私立
学校法人清真学園清真学園中学校,茨城県鹿嶋市宮中伏見４４４８−５,私立
青葉台中等学部,茨城県かすみがうら市上稲吉１５１８,私立
霞ヶ浦高等学校附属中学校,茨城県稲敷郡阿見町青宿５０番地,私立
国府台女子学院中学部,千葉県市川市菅野３−２４−１,私立
日出学園中学校,千葉県市川市菅野３−２３−１,私立
昭和学院中学校,千葉県市川市東菅野２−１７−１,私立
市川中学校,千葉県市川市本北方２−３８−１,私立
和洋国府台女子中学校,千葉県市川市国府台２−３−１,私立
千葉日本大学第一中学校,千葉県船橋市習志野台８−３４−１,私立
暁星国際中学校,千葉県木更津市矢那１０８３,私立
成田高等学校付属中学校,千葉県成田市成田２７,私立
東邦大学付属東邦中学校,千葉県習志野市泉町２−１−３７,私立
秀明大学学校教師学部附属秀明八千代中学校,千葉県八千代市桑橋８０３番地,私立
八千代松陰中学校,千葉県八千代市村上７２７番地,私立
光英ＶＥＲＩＴＡＳ中学校,千葉県松戸市秋山６００,私立
昭和学院秀英中学校,千葉県千葉市美浜区若葉１−２,私立
志学館中等部,千葉県木更津市真舟３−２９−１,私立
渋谷教育学園幕張中学校,千葉県千葉市美浜区若葉１−３,私立
東海大学付属浦安高等学校中等部,千葉県浦安市東野３−１１−１,私立
翔凛中学校,千葉県君津市三直１３４８−１,私立
西武台千葉中学校,千葉県野田市尾崎２２４１−２,私立
東京学館浦安中学校,千葉県浦安市高洲１−２３−１,私立
芝浦工業大学柏中学校,千葉県柏市増尾７００番地,私立
専修大学松戸中学校,千葉県松戸市上本郷２−３６２１,私立
麗澤中学校,千葉県柏市光ヶ丘２−１−１,私立
千葉明徳中学校,千葉県千葉市中央区南生実町１４１２,私立
二松学舎大学附属柏中学校,千葉県柏市大井２５９０,私立
三育学院中学校,千葉県夷隅郡大多喜町中野５８９番地,私立
流通経済大学付属柏中学校,千葉県柏市十余二１−２０,私立
大妻中学校,東京都千代田区三番町１２,私立
神田女学園中学校,東京都千代田区神田猿楽町２−３−６,私立
共立女子中学校,東京都千代田区一ツ橋２−２−１,私立
麹町学園女子中学校,東京都千代田区麹町３−８,私立
暁星中学校,東京都千代田区富士見１−２−５,私立
白百合学園中学校,東京都千代田区九段北２−４−１,私立
千代田国際中学校,東京都千代田区四番町１１,私立
女子学院中学校,東京都千代田区一番町２２−１０,私立
東京家政学院中学校,東京都千代田区三番町２２,私立
雙葉中学校,東京都千代田区六番町１４−１,私立
三輪田学園中学校,東京都千代田区九段北３−３−１５,私立
和洋九段女子中学校,東京都千代田区九段北１−１２−１２,私立
開智日本橋学園中学校,東京都中央区日本橋馬喰町２−７−６,私立
麻布中学校,東京都港区元麻布２−３−２９,私立
慶應義塾中等部,東京都港区三田２−１７−１０,私立
頌栄女子学院中学校,東京都港区白金台２−２６−５,私立
芝中学校,東京都港区芝公園３−５−３７,私立
広尾学園中学校,東京都港区南麻布５−１−１４,私立
聖心女子学院中等科,東京都港区白金４−１１−１,私立
高輪中学校,東京都港区高輪２−１−３２,私立
芝国際中学校,東京都港区芝４−１−３０,私立
東洋英和女学院中学部,東京都港区六本木５−１４−４０,私立
普連土学園中学校,東京都港区三田４−１４−１６,私立
東海大学付属高輪台高等学校中等部,東京都港区高輪２−２−１６,私立
山脇学園中学校,東京都港区赤坂４−１０−３６,私立
海城中学校,東京都新宿区大久保３−６−１,私立
学習院女子中等科,東京都新宿区戸山３−２０−１,私立
成女学園中学校,東京都新宿区富久町７−３０,私立
成城中学校,東京都新宿区原町３−８７,私立
目白研心中学校,東京都新宿区中落合４−３１−１,私立
早稲田中学校,東京都新宿区馬場下町６２,私立
跡見学園中学校,東京都文京区大塚１−５−９,私立
郁文館中学校,東京都文京区向丘２−１９−１,私立
桜蔭中学校,東京都文京区本郷１−５−２５,私立
京華中学校,東京都文京区白山５−６−６,私立
京華女子中学校,東京都文京区白山５−１３−５,私立
東洋大学京北中学校,東京都文京区白山２−３６−５,私立
駒込中学校,東京都文京区千駄木５−６−２５,私立
小石川淑徳学園中学校,東京都文京区小石川３−１４−３,私立
貞静学園中学校,東京都文京区大塚１−２−１０,私立
東邦音楽大学附属東邦中学校,東京都文京区大塚４−４６−９,私立
獨協中学校,東京都文京区関口３−８−１,私立
日本大学豊山中学校,東京都文京区大塚５−４０−１０,私立
文京学院大学女子中学校,東京都文京区本駒込６−１８−３,私立
広尾学園小石川中学校,東京都文京区本駒込２−２９−１,私立
上野学園中学校,東京都台東区東上野４−２４−１２,私立
安田学園中学校,東京都墨田区横網２−２−２５,私立
日本大学第一中学校,東京都墨田区横網１−５−２,私立
